constituency_name,party,mp_name,category_2024,2024,category_2029,2029
Gateshead Central and Whickham,LAB,Mark Ferguson,Christian plurality,47.44741320663672,Non-religious majority,50.91670918614708
Gedling,LAB,Michael Payne,Non-religious majority,50.16915055356864,Non-religious majority,58.011159876822106
Gillingham and Rainham,LAB,Naushabah Khan,Christian plurality,45.06301456866846,Non-religious majority,50.82608000255079
Glastonbury and Somerton,LDM,Sarah Dyke,Christian majority,50.68222937911937,Non-religious plurality,48.77642132380806
Gloucester,LAB,Alex McIntyre,Christian plurality,45.566499793743034,Non-religious plurality,49.19364620418148
Godalming and Ash,CON,Jeremy Hunt,Christian majority,50.86648315554031,Non-religious plurality,48.20942548181107
Goole and Pocklington,CON,David Davis,Christian majority,54.23728952247564,Non-religious plurality,47.266469465805194
Gorton and Denton,GRN,Hannah Spencer,Christian plurality,38.134264383910384,Non-religious plurality,32.380419852951434
Gosport,CON,Caroline Dinenage,Non-religious plurality,47.53604576600981,Non-religious majority,55.851569527396585
Gower,LAB,Tonia Antoniazzi,Non-religious plurality,46.05562571484817,Non-religious majority,54.13344550865148
Grantham and Bourne,CON,Gareth Davies,Christian majority,53.95023473362567,Non-religious plurality,46.852657060290106
Gravesham,LAB,Lauren Sullivan,Christian plurality,48.329504641987846,Christian plurality,41.703128441329405
Great Grimsby and Cleethorpes,LAB,Melanie Onn,Non-religious plurality,49.86573742051312,Non-religious majority,58.57553440507141
Great Yarmouth,REST,Rupert Lowe,Christian plurality,46.44679200341979,Non-religious majority,54.00243026776897
Greenwich and Woolwich,LAB,Matthew Pennycook,Non-religious plurality,38.825535579304336,Non-religious plurality,42.57549725112609
Guildford,LDM,Zöe Franklin,Christian plurality,45.26393139093086,Non-religious plurality,48.3799770069081
Hackney North and Stoke Newington,IND,Diane Abbott,Non-religious plurality,37.46956792900795,Non-religious plurality,39.69830618794357
Hackney South and Shoreditch,LAB,Meg Hillier,Non-religious plurality,43.18420569291448,Non-religious plurality,46.56666464447311
Halesowen,LAB,Alex Ballinger,Christian plurality,46.27657659569731,Non-religious plurality,45.32567801562523
Halifax,LAB,Kate Dearden,Non-religious plurality,39.70025950966775,Non-religious plurality,45.884862286119
Hamble Valley,CON,Paul Holmes,Christian plurality,47.073812346785445,Non-religious majority,54.528169624822254
Hammersmith and Chiswick,LAB,Andrew Slaughter,Christian plurality,41.785608616370354,Non-religious plurality,38.2603549902365
Hampstead and Highgate,LAB,Tulip Siddiq,Non-religious plurality,38.3256723128763,Non-religious plurality,41.889769490075956
"Harborough, Oadby and Wigston",CON,Neil O'Brien,Christian plurality,40.30510293254833,Non-religious plurality,40.663990983433976
Harlow,LAB,Christopher Vince,Christian plurality,45.36738289339201,Non-religious plurality,49.296361280240056
Harpenden and Berkhamsted,LDM,Victoria Collins,Christian plurality,49.567006757200836,Non-religious plurality,48.01454477644047
Harrogate and Knaresborough,LDM,Tom Gordon,Christian majority,51.52831230768985,Non-religious plurality,47.61566068225388
Harrow East,CON,Bob Blackman,Christian plurality,33.615309894672826,Christian plurality,31.780605251040416
Harrow West,LAB,Gareth Thomas,Christian plurality,35.20264513092163,Christian plurality,32.684880086487716
Hartlepool,LAB,Jonathan Brash,Christian majority,51.14965987988691,Non-religious majority,51.455328509677024
Harwich and North Essex,CON,Bernard Jenkin,Christian plurality,46.69507644648331,Non-religious majority,53.13279582384812
Hastings and Rye,LAB,Helena Dollimore,Non-religious majority,51.11326807449159,Non-religious majority,58.895724751616605
Havant,CON,Alan Mak,Non-religious plurality,48.28606808182217,Non-religious majority,56.428788117235406
Hayes and Harlington,LAB,John Martin McDonnell,Christian plurality,32.16918077844797,Christian plurality,26.944196274000277
Hazel Grove,LDM,Lisa Smart,Christian plurality,49.59962383939221,Non-religious majority,51.67361538618914
Hemel Hempstead,LAB,David Taylor,Christian plurality,44.26507853649267,Non-religious plurality,48.53812622309751
Hendon,LAB,David Pinto-Duschinsky,Christian plurality,36.88857836129831,Christian plurality,33.737576383624926
Henley and Thame,LDM,Freddie Van Mierlo,Christian majority,50.74777141841644,Non-religious plurality,48.82461003758447
Hereford and South Herefordshire,CON,Jesse Norman,Christian majority,52.424007234396164,Non-religious plurality,46.75536217947398
Herne Bay and Sandwich,CON,Roger Gale,Christian plurality,49.981099937998486,Non-religious majority,50.87472564970062
Hertford and Stortford,LAB,Josh Dean,Christian plurality,46.57668073986997,Non-religious majority,51.99275733444744
Hertsmere,CON,Oliver Dowden,Christian plurality,41.53609894255957,Christian plurality,36.28190024178664
Hexham,LAB,Joe Morris,Christian majority,54.28783051838746,Non-religious plurality,47.04394301328783
Heywood and Middleton North,LAB,Elsie Blundell,Christian majority,51.11499399988541,Christian plurality,43.2026369136388
High Peak,LAB,Jonathan Pearce,Christian plurality,46.94922662006298,Non-religious majority,54.806809160070536
Hinckley and Bosworth,CON,Luke Evans,Christian plurality,49.55859480620119,Non-religious majority,51.30715201225322
Hitchin,LAB,Alistair Strathern,Non-religious plurality,47.20926941683988,Non-religious majority,54.88746688915308
Holborn and St Pancras,LAB,Keir Starmer,Non-religious plurality,38.615159386554915,Non-religious plurality,41.905425229864875
Honiton and Sidmouth,LDM,Richard Foord,Christian plurality,49.78645412384679,Non-religious majority,51.489954957349624
Hornchurch and Upminster,CON,Julia Lopez,Christian majority,52.40855469696171,Christian plurality,45.04752397303892
Hornsey and Friern Barnet,LAB,Catherine West,Non-religious plurality,44.75285048366344,Non-religious plurality,48.06822412777018
Horsham,LDM,John Milne,Christian plurality,46.52716417419345,Non-religious majority,53.07814065508314
Houghton and Sunderland South,LAB,Bridget Phillipson,Christian majority,53.06286146808203,Non-religious majority,51.70436159212321
Hove and Portslade,LAB,Peter Kyle,Non-religious majority,54.30135764905661,Non-religious majority,61.040045469010906
Huddersfield,LAB,Harpreet Uppal,Christian plurality,35.82360874402384,Non-religious plurality,40.40137891091607
Huntingdon,CON,Ben Obese-Jecty,Christian plurality,46.82344964832257,Non-religious majority,52.10847120775119
Hyndburn,LAB,Sarah Smith,Christian plurality,48.94297428657874,Christian plurality,40.2433651286238
Ilford North,LAB,Wes Streeting,Christian plurality,29.350383251808825,Muslim plurality,33.782674283643146
Ilford South,LAB,Jas Athwal,Muslim plurality,40.22925815839515,Muslim plurality,45.59402172029646
Ipswich,LAB,Jack Abbott,Non-religious plurality,46.14743193818614,Non-religious majority,52.15473682347507
Isle of Wight East,CON,Joe Robertson,Christian plurality,48.354429073306726,Non-religious majority,51.42323350014596
Isle of Wight West,LAB,Richard Quigley,Christian plurality,46.30268156539101,Non-religious majority,53.56916133049968
Islington North,IND,Jeremy Corbyn,Non-religious plurality,45.19986435427329,Non-religious plurality,49.25924807909926
Islington South and Finsbury,LAB,Emily Thornberry,Non-religious plurality,44.28654409027269,Non-religious plurality,48.52201907458763
Jarrow and Gateshead East,LAB,Kate Osborne,Christian majority,52.210812877042834,Non-religious majority,51.365372825342725
Keighley and Ilkley,CON,Robbie Moore,Christian plurality,41.934452354496045,Non-religious plurality,43.394727484038526
